embedding_dim,top_k,variant,EM,F1,secs,faithfulness,context_precision,context_recall,answer_relevance,ragas_role
384,3,baseline,57.0,63.98359359938306,54.87103486061096,0.5333333330172023,0.1333333333333333,0.31666666666666665,0.04404761903755669,naive
384,3,rerank,67.0,73.89318955897903,70.1773669719696,0.5166666663670513,0.1722222222222222,0.35,0.04861111110207443,enhanced
