embedding_dim,top_k,variant,EM,F1,secs
384,1,baseline,53.0,58.308268924058396,47.591827154159546
384,3,baseline,57.0,63.98359359938306,54.92343616485596
384,5,baseline,55.0,62.566926932716385,68.97621893882751
768,1,baseline,56.0,60.308268924058396,54.516725063323975
768,3,baseline,60.0,65.8169269327164,62.86146020889282
768,5,baseline,58.0,64.33207844786791,80.6569721698761
384,3,rewrite,54.0,59.55026026604973,184.22828316688538
384,3,rerank,67.0,73.89318955897903,71.26364707946777
